CACHAÇA,URLS,2021-02-12,2021-06-18,2021-06-22,2021-07-11,2021-07-17,2021-08-10,2021-08-14,2021-08-18
1000 Montes Carvalho 3Aob 500ml,cachaca-1000-montes-carvalho-3aob-500ml-00154/p,65.0,99.0,99.0,99.0,79.2,99.95,99.95,99.95
Bem Me Quer Prata 700ml,cachaca-bem-me-quer-prata-700ml-00256/p,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7
Bem Me Quer Umburana 600ml,cachaca-bem-me-quer-amburana-600ml-00804/p,32.0,32.0,32.0,32.0,34.0,34.0,34.0,34.0
Caialua Prata 750ml,cachaca-caialua-prata-750ml-00282/p,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0
Claudionor 600ml,cachaca-claudionor-600ml-00399/p,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9
Colombina Cristal 700ml,cachaca-colombina-cristal-700ml-00323/p,49.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9
Coqueiro 700ml,cachaca-coqueiro-prata-amendoim-700ml-00329/p,65.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0
Engenho São Luiz Amendoim 600ml,cachaca-engenho-sao-luiz-amendoim-rotulo-verde-600ml-00490/p,62.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0
Leandro Batista 750ml,cachaca-leandro-batista-envelhecida-750ml-00672/p,0.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
Mato Dentro Prata 900ml,cachaca-mato-dentro-900ml-00712/p,57.6,57.6,57.6,57.6,57.6,64.0,64.0,64.0
Matriarca Jaqueira 750ml,cachaca-matriarca-jaqueira-750ml-00523/p,0.0,75.0,75.0,75.0,0.0,0.0,89.0,89.0
Princesa Isabel Prata 750ml,cachaca-princesa-isabel-prata-750ml-00849/p,90.0,90.0,90.0,0.0,90.0,90.0,90.0,90.0
Rainha 600ml,aguardente-rainha-paraibana-600ml-00085/p,49.0,40.3,40.3,49.0,49.0,49.0,46.4,46.4
Salineira 600ml,cachaca-salineira-balsamo-10-anos-600ml-01150/p,0.0,79.7,0.0,79.7,85.0,85.0,85.0,85.0
Salineira 670ml,cachaca-salineira-balsamo-10-anos-670ml-01151/p,87.0,87.0,87.0,87.0,97.0,97.0,97.0,97.0
Sanhaçu Freijó 600ml,cachaca-sanhacu-freijo-600ml-01197/p,69.0,0.0,0.0,87.0,87.0,87.0,87.0,87.0
Sanhaçu Origem Prata 700ml,cachaca-sanhacu-origem-prata-700ml-01582/p,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santo Grau Coronel Xavier Chaves 750ml,cachaca-santo-grau-coronel-xavier-chaves-750ml-01198/p,87.0,85.7,85.7,85.7,85.7,85.7,85.7,85.7
Sebastiana Castanheira 500ml,cachaca-sebastiana-castanheira-500ml-01178/p,97.0,97.0,97.0,97.0,77.6,97.0,97.0,97.0
Século XVIII 670ml,cachaca-seculo-xviii-670ml-01236/p,87.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0
Tiê Prata 670ml,cachaca-tie-prata-670ml-00898/p,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
Weber Haus Premium 7 Madeiras 750ml,cachaca-weber-haus-premium-7-madeiras-750ml-00917/p,89.9,95.0,0.0,95.0,95.0,0.0,0.0,95.0
Werneck Jequitiba E Carvalho Reserva Especial 750ml,cachaca-werneck-jequitiba-e-carvalho-reserva-especial-750ml-00922/p,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
